tenor,atm_mid,atm_spread,rr25_mid,rr25_spread,bf25_mid,bf25_spread,rr10_mid,rr10_spread,bf10_mid,bf10_spread
1D,4.375,7.0,-0.605,4.9,0.285,3.5,-0.745,8.4,0.54,5.6
1W,4.24,0.62,-0.497,0.435,0.16,0.31,-0.708,0.745,0.585,0.5
2W,4.205,0.8,-0.46,0.56,0.215,0.4,-0.662,0.955,0.585,0.64
3W,4.207,0.795,-0.42,0.56,0.215,0.4,-0.615,0.96,0.585,0.64
1M,4.34,0.4,-0.15,0.28,0.222,0.205,-0.438,0.485,0.482,0.325
2M,4.43,0.35,0.07,0.24,0.232,0.175,0.06,0.42,0.52,0.28
3M,4.565,0.3,0.19,0.21,0.22,0.15,0.14,0.36,0.54,0.24
4M,4.683,0.225,0.388,0.155,0.24,0.11,0.598,0.265,0.557,0.175
5M,4.753,0.238,0.515,0.165,0.25,0.118,0.889,0.283,0.575,0.188
6M,4.815,0.25,0.593,0.175,0.257,0.125,1.065,0.3,0.585,0.2
9M,4.92,0.25,0.778,0.175,0.252,0.125,1.48,0.3,0.66,0.2
1Y,5.0,0.3,0.88,0.21,0.265,0.15,1.625,0.36,0.73,0.24
18M,5.237,0.445,0.89,0.31,0.26,0.22,1.728,0.535,0.755,0.36
2Y,5.213,0.845,0.91,0.59,0.307,0.425,1.707,1.015,0.822,0.675
3Y,5.23,0.97,1.042,0.685,0.308,0.485,1.92,1.17,0.86,0.78
4Y,5.223,0.87,0.987,0.615,0.297,0.435,1.928,1.05,0.867,0.7
5Y,5.221,0.804,0.954,0.569,0.292,0.402,1.935,0.971,0.873,0.647
6Y,5.219,0.779,0.932,0.551,0.289,0.389,1.942,0.941,0.879,0.627
7Y,5.216,0.757,0.916,0.536,0.288,0.379,1.948,0.915,0.884,0.61
10Y,5.209,0.683,0.905,0.484,0.292,0.341,1.964,0.826,0.898,0.55
15Y,5.2,0.638,0.905,0.452,0.302,0.319,1.986,0.771,0.916,0.514
20Y,5.192,0.628,0.904,0.446,0.31,0.314,2.004,0.76,0.931,0.507
25Y,5.186,0.625,0.904,0.444,0.316,0.313,2.02,0.756,0.944,0.504
30Y,5.18,0.623,0.903,0.442,0.321,0.312,2.034,0.754,0.955,0.503
